# Stronzio (Sr) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: fsr_usb2000_spettrogramma_20260921_161953
# selezione: media delle 12 righe piu intense in 595-690 nm (su 13)
# integrazione: 200 ms · rumore: 0.25 conteggi
# fondo strumentale sottratto; punte di 1-2 pixel rimosse
# cancellato Na a 589 nm +-5 nm (c'era un picco da 662 conteggi)
# cancellato K a 768 nm +-7 nm (c'era un picco da 2801 conteggi)
wavelength_nm,intensity_counts
289.233,-1.12967
289.608,-1.20217
289.983,-1.16050
290.358,-1.18383
290.732,-1.12217
291.107,-1.37133
291.482,-1.50683
291.856,-0.53017
292.231,-0.46767
292.606,-0.90217
292.980,-0.93550
293.355,-1.01300
293.729,-1.25550
294.104,-1.02383
294.478,-0.71383
294.852,-1.10467
295.227,-1.28383
295.601,-1.28883
295.975,-1.48883
296.349,-0.92633
296.723,-0.95467
297.098,-0.73850
297.472,-0.51467
297.846,-0.77800
298.219,-0.39050
298.594,-0.98967
298.967,-0.99967
299.341,-1.39633
299.715,-1.31383
300.089,-1.06800
300.463,-1.00883
300.836,-0.93050
301.210,-1.25967
301.584,-0.92550
301.957,-1.26550
302.331,-1.24300
302.704,-1.21050
303.077,-0.95467
303.451,-1.16050
303.824,-1.16883
304.198,-1.17217
304.571,-0.71467
304.944,-0.93383
305.317,-0.77217
305.691,-0.55300
306.064,-0.67967
306.437,-0.23133
306.810,0.23283
307.183,0.10283
307.556,-0.20967
307.929,-0.60133
308.302,-0.45467
308.674,-0.46633
309.047,-0.54300
309.420,-0.64300
309.793,-0.77133
310.165,-0.66883
310.538,-0.87550
310.911,-0.88383
311.283,-1.03217
311.656,-0.82467
312.028,-0.91550
312.401,-0.84217
312.773,-0.88383
313.145,-0.52967
313.518,-0.63800
313.890,-0.72550
314.262,-0.59300
314.634,-0.45050
315.006,-0.51717
315.378,-0.25883
315.751,-0.39217
316.123,-0.51800
316.495,-0.37217
316.866,-0.76800
317.238,-0.83383
317.610,-0.65883
317.982,-0.93467
318.354,-0.34217
318.726,-0.72967
319.097,-0.42550
319.469,-0.04717
319.841,-0.38217
320.212,-0.63050
320.584,-0.68050
320.955,-0.48800
321.327,-0.30967
321.698,-0.55050
322.069,-0.80050
322.441,-1.11300
322.812,-1.03050
323.183,-0.86383
323.555,-1.15633
323.926,-0.73050
324.297,-0.82550
324.668,-1.05050
325.039,-0.79300
325.410,-1.15550
325.781,-0.77850
326.152,-0.64633
326.523,-0.46150
326.894,-0.53067
327.264,-0.69083
327.635,-0.69800
328.006,-0.70967
328.376,-0.35383
328.747,-0.19383
329.118,-0.78050
329.488,-0.55550
329.859,-0.60550
330.229,-0.31050
330.599,-0.34300
330.970,-0.40883
331.340,-0.47633
331.711,-0.66300
332.081,-0.44717
332.451,-0.40967
332.821,-0.25800
333.191,-0.83167
333.562,-0.94867
333.932,0.04867
334.301,-0.41717
334.671,-0.27967
335.041,-0.28800
335.411,-0.18467
335.781,-0.21633
336.151,-0.59050
336.521,-0.77967
336.890,-0.74633
337.260,-0.52300
337.630,-0.41050
337.999,-0.67300
338.369,-0.45217
338.738,-0.51633
339.108,-0.52633
339.477,-0.48633
339.847,-0.50967
340.216,-0.31300
340.586,-0.52300
340.955,-0.68300
341.324,-0.46300
341.693,0.13033
342.062,0.42367
342.431,0.13617
342.800,-0.33383
343.170,-0.47967
343.538,-0.19300
343.907,-0.19050
344.276,-0.49633
344.645,-0.48633
345.014,-0.70467
345.383,-0.45717
345.752,-0.18800
346.120,-0.19050
346.489,0.22617
346.858,0.38700
347.226,0.18367
347.595,0.15533
347.963,0.07450
348.332,-0.19633
348.700,-0.28050
349.068,-0.18967
349.437,-0.45217
349.805,-0.20883
350.173,0.34450
350.541,0.42950
350.909,0.26950
351.278,-0.08467
351.646,-0.14883
352.014,0.28283
352.382,0.15367
352.750,0.14117
353.118,-0.00633
353.485,0.19367
353.853,0.10283
354.221,0.05200
354.589,0.14033
354.957,0.24533
355.324,0.37450
355.692,0.19533
356.059,0.00950
356.427,0.37700
356.794,0.02367
357.162,0.24033
357.529,0.15783
357.897,0.29700
358.264,0.50033
358.631,0.62533
358.998,0.50867
359.366,0.31950
359.733,0.26033
360.100,0.47367
360.467,0.32700
360.834,0.56950
361.201,0.96200
361.568,1.29533
361.935,1.39367
362.302,1.09950
362.669,1.12283
363.035,1.19450
363.402,1.50367
363.769,1.60950
364.135,1.46617
364.502,1.52283
364.869,1.39033
365.235,1.60200
365.602,1.38533
365.968,1.13700
366.335,1.29533
366.701,1.57283
367.067,1.66283
367.434,1.79033
367.800,1.31617
368.166,1.35867
368.532,1.76200
368.898,1.89950
369.264,1.57367
369.630,1.48200
369.996,1.54117
370.362,1.35283
370.728,1.59283
371.094,1.23283
371.460,1.19533
371.826,1.09867
372.192,1.21200
372.557,1.00617
372.923,1.15783
373.288,0.94283
373.654,1.62867
374.020,1.69617
