# Litio (Li) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: nightli_usb2000_spettrogramma_20260921_231929
# selezione: media delle 2 righe piu intense in 665-675 nm (su 14, 4 scartate per taglio nella finestra)
# integrazione: 800 ms · rumore: 0.89 conteggi
# fondo strumentale sottratto; punte di 1-2 pixel rimosse
# cancellato Na a 589 nm +-5 nm (c'era un picco da 8 conteggi)
# cancellato K a 768 nm +-7 nm (c'era un picco da 10 conteggi)
wavelength_nm,intensity_counts
292.231,-3.35200
292.606,-5.45200
292.980,-3.35200
293.355,-3.63700
293.729,-4.41700
294.104,-2.37200
294.478,-2.18200
294.852,-3.36200
295.227,-3.26200
295.601,-3.03200
295.975,-1.43200
296.349,-3.63200
296.723,-4.28700
297.098,-3.37700
297.472,-0.67200
297.846,-4.12200
298.219,-0.67200
298.594,-1.82700
298.967,-2.44700
299.341,-4.43700
299.715,-3.90700
300.089,-1.95700
300.463,-3.21200
300.836,-2.68200
301.210,-3.55700
301.584,-2.61200
301.957,-3.62200
302.331,-4.53200
302.704,-2.80200
303.077,-1.13700
303.451,-3.10200
303.824,-4.10200
304.198,-4.88200
304.571,-2.00200
304.944,-3.13700
305.317,-3.50700
305.691,-3.07200
306.064,-2.16200
306.437,-1.95200
306.810,-0.23700
307.183,-0.63200
307.556,-1.33200
307.929,-2.95700
308.302,-2.33700
308.674,-1.12700
309.047,-4.18200
309.420,-4.58200
309.793,-2.53700
310.165,-2.10200
310.538,-3.01200
310.911,-3.23700
311.283,-3.39700
311.656,-3.31700
312.028,-3.24700
312.401,-3.48700
312.773,-3.23700
313.145,-0.51200
313.518,-0.53700
313.890,-3.68700
314.262,-1.83200
314.634,-0.93700
315.006,0.16300
315.378,1.11300
315.751,-0.11200
316.123,-1.58200
316.495,-1.58200
316.866,-2.45700
317.238,-1.68700
317.610,-0.43700
317.982,-2.08200
318.354,1.23800
318.726,-1.31200
319.097,0.36300
319.469,1.41800
319.841,0.65300
320.212,-2.00700
320.584,-1.45700
320.955,-0.93700
321.327,1.76800
321.698,1.81300
322.069,-0.91200
322.441,-2.61200
322.812,-3.50700
323.183,-1.93200
323.555,-3.07700
323.926,-1.98200
324.297,-2.11200
324.668,-0.76200
325.039,-0.08200
325.410,-0.95700
325.781,-0.08200
326.152,-1.48700
326.523,11.88800
326.894,11.88800
327.264,11.36500
327.635,-3.85200
328.006,-1.83200
328.376,0.33300
328.747,0.39800
329.118,-0.73200
329.488,0.16800
329.859,0.79300
330.229,1.67300
330.599,0.66800
330.970,1.21300
331.340,2.79300
331.711,0.16300
332.081,-0.03200
332.451,-0.35700
332.821,0.63300
333.191,0.83800
333.562,1.22800
333.932,0.66800
334.301,0.91300
334.671,0.26300
335.041,0.61300
335.411,0.34300
335.781,0.93300
336.151,-0.52200
336.521,-1.68700
336.890,-0.18700
337.260,-0.07700
337.630,0.42300
337.999,-0.07700
338.369,1.17300
338.738,1.23300
339.108,0.46800
339.477,-0.67200
339.847,-0.38200
