# Calcio (Ca) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: nightca_usb2000_spettrogramma_20260921_231521
# selezione: media delle 2 righe piu intense in 615-630 nm (su 14)
# integrazione: 800 ms · rumore: 0.93 conteggi
# fondo strumentale sottratto; punte di 1-2 pixel rimosse
# cancellato Na a 589 nm +-5 nm (c'era un picco da 1202 conteggi)
# cancellato K a 768 nm +-7 nm (c'era un picco da 47 conteggi)
wavelength_nm,intensity_counts
292.606,-4.57100
292.980,-4.13600
293.355,-4.79600
293.729,-4.24600
294.104,-3.15600
294.478,-3.09100
294.852,-4.06600
295.227,-4.21600
295.601,-3.48600
295.975,-2.21600
296.349,-5.00100
296.723,-4.28100
297.098,-4.28100
297.472,-2.45600
297.846,-5.57600
298.219,-2.45600
298.594,-2.82100
298.967,-2.44100
299.341,-4.09600
299.715,-3.31600
300.089,-1.82600
300.463,-4.74600
300.836,-3.01100
301.210,-3.96600
301.584,-3.02100
301.957,-4.15600
302.331,-4.90100
302.704,-3.88100
303.077,-2.29600
303.451,-4.38600
303.824,-5.47100
304.198,-4.87600
304.571,-3.12100
304.944,-3.84100
305.317,-3.29100
305.691,-2.27600
306.064,-1.53100
306.437,-1.32100
306.810,1.60400
307.183,2.49900
307.556,1.54900
307.929,-0.61600
308.302,0.45900
308.674,3.66900
309.047,-1.01100
309.420,-1.11600
309.793,-0.19600
310.165,0.23900
310.538,-0.46600
310.911,-1.27100
311.283,-2.51600
311.656,-1.81100
312.028,-1.24100
312.401,-1.14600
312.773,-1.64600
313.145,0.40900
313.518,0.84400
313.890,-3.26600
314.262,-2.20100
314.634,-1.43100
315.006,-0.41600
315.378,1.82900
315.751,0.89400
316.123,-0.41100
316.495,-0.49100
316.866,-2.03600
317.238,-1.84600
317.610,-1.26600
317.982,-1.78600
318.354,0.45400
318.726,-2.05600
319.097,-0.71600
319.469,-0.82600
319.841,-1.17600
320.212,-2.25100
320.584,-1.16100
320.955,-2.43100
