obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"418.022"	"418.02943"	""	"2.58e+04"	B	"2.104429202"	"[5.06951389]"	"3/2"	"3/2"		"T7799"	"L9493"	
"418.022"	"418.02944"	""	"1.55e+05"	B	"2.104429202"	"[5.06951376]"	"3/2"	"5/2"		"T7799"	"L9493"	
"418.209"	"418.21380"	""	""		"2.102297177"	"[5.06607469]"	"1/2"	"1/2"		""	"L9493"	
"418.509"	"418.51487"	""	"8.70e+04"	B	"2.104429202"	"[5.06607469]"	"3/2"	"1/2"		"T7799"	"L9493"	
"418.55"	"418.546"	"150"	"4.9e+07"	D	"33.2915"	"36.2529"	"5/2"	"5/2"		"T5209"	"L6269"	
"419.297"	"419.30142"	""	""		"2.102297177"	"[5.05838717]"	"1/2"	"3/2"		""	"L9493"	
"419.598"	"419.60405"	""	"3.27e+04"	B	"2.104429202"	"[5.05838717]"	"3/2"	"3/2"		"T7799"	"L9493"	
"419.598"	"419.60409"	""	"1.96e+05"	B	"2.104429202"	"[5.05838693]"	"3/2"	"5/2"		"T7799"	"L9493"	
"419.914"	"419.91362"	""	""		"2.102297177"	"[5.05407748]"	"1/2"	"1/2"		""	"L9493"	
"420.216"	"420.21714"	""	"1.09e+05"	B	"2.104429202"	"[5.05407748]"	"3/2"	"1/2"		"T7799"	"L9493"	
"420.49"	"420.486"	"46"	"2.5e+07"	D	"33.2915"	"36.2392"	"5/2"	"3/2"		"T5209"	"L6269"	
"421.309"	"421.30057"	""	""		"2.102297177"	"[5.04436022]"	"1/2"	"3/2"		""	"L9493"	
"421.613"	"421.60610"	""	"4.20e+04"	B	"2.104429202"	"[5.04436022]"	"3/2"	"3/2"		"T7799"	"L9493"	
"421.613"	"421.60610"	""	"2.52e+05"	B	"2.104429202"	"[5.04436022]"	"3/2"	"5/2"		"T7799"	"L9493"	
"422.076"	"422.08966"	""	""		"2.102297177"	"[5.03886016]"	"1/2"	"1/2"		""	"L9493"	
"422.381"	"422.39634"	""	"1.40e+05"	B	"2.104429202"	"[5.03886016]"	"3/2"	"1/2"		"T7799"	"L9493"	
"423.8987"	"423.89828"	"2"	""		"2.102297177"	"[5.02633118]"	"1/2"	"3/2"		""	"L6096"	
"424.2082"	"424.20759"	"3*"	"5.54e+04"	B	"2.104429202"	"[5.02633118]"	"3/2"	"3/2"		"T7799"	"L6096"	
"424.2082"	"424.20763"	"3*"	"3.32e+05"	B	"2.104429202"	"[5.02633094]"	"3/2"	"5/2"		"T7799"	"L6096"	
"424.9410"	"424.94081"	"1"	""		"2.102297177"	"5.01915758"	"1/2"	"1/2"		""	"L6096"	
"425.2520"	"425.25165"	"2"	"1.84e+05"	B	"2.104429202"	"5.01915758"	"3/2"	"1/2"		"T7799"	"L6096"	
"425.38"	"425.376"	"17"	"5.e+06"	D	"33.3390"	"36.2529"	"3/2"	"5/2"		"T5209"	"L6269"	
"427.3642"	"427.36265"	"4"	"3.91e+05"	C	"2.102297177"	"5.00262826"	"1/2"	"3/2"		"c58,LS"	"L6096"	
"427.39"	"427.380"	"23"	"1.6e+07"	D	"33.3390"	"36.2392"	"3/2"	"3/2"		"T5209"	"L6269"	
"427.6787"	"427.67704"	"5*"	"7.8e+04"	C	"2.104429202"	"5.00262826"	"3/2"	"3/2"		"c58,LS"	"L6096"	
"427.6787"	"427.67709"	"5*"	"4.69e+05"	C	"2.104429202"	"5.00262788"	"3/2"	"5/2"		"c58,LS"	"L6096"	
"428.67"	"428.655"	"46"	"2.8e+07"	D	"33.3390"	"36.2306"	"3/2"	"1/2"		"T5209"	"L6269"	
"428.7838"	"428.78363"	"2"	""		"2.102297177"	"4.99301675"	"1/2"	"1/2"		""	"L6096"	
"429.1006"	"429.10012"	"3"	"2.47e+05"	B	"2.104429202"	"4.99301675"	"3/2"	"1/2"		"T7799"	"L6096"	
"432.1400"	"432.1401"	"6"	""		"2.102297177"	"4.9705650"	"1/2"	"3/2"		""	"L6096"	
"432.4615"	"432.4615"	"7*"	"1.14e+05"	B	"2.104429202"	"4.9705650"	"3/2"	"3/2"		"T7799"	"L6096"	
"432.4615"	"432.4615"	"7*"	"6.84e+05"	B	"2.104429202"	"4.9705650"	"3/2"	"5/2"		"T7799"	"L6096"	
"432.63"	"432.700"	""	""		"32.7002"	"35.5648"	"3/2"	"3/2"		""	"L10065"	
"434.1489"	"434.1489"	"4"	"3.26e+05"	C+	"2.102297177"	"4.9572937"	"1/2"	"1/2"		"c30"	"L6096"	
"434.4736"	"434.4733"	"5"	"6.50e+05"	C+	"2.104429202"	"4.9572937"	"3/2"	"1/2"		"c30"	"L6096"	
"439.0029"	"439.0022"	"8"	"9.83e+05"	B+	"2.102297177"	"4.9257310"	"1/2"	"3/2"		"c30"	"L6096"	
"439.3340"	"439.3340"	"9*"	"1.17e+06"	B+	"2.104429202"	"4.9257310"	"3/2"	"5/2"		"c30"	"L6096"	
"439.3340"	"439.3340"	"9*"	"1.95e+05"	B	"2.104429202"	"4.9257310"	"3/2"	"3/2"		"c30"	"L6096"	
"441.9885"	"441.9883"	"6"	"2.82e+05"	C+	"2.102297177"	"4.9066561"	"1/2"	"1/2"		"c30"	"L6096"	
"442.3246"	"442.3246"	"7"	"5.61e+05"	C+	"2.104429202"	"4.9066561"	"3/2"	"1/2"		"c30"	"L6096"	
"443.23"	"443.234"	"310"	"1.4e+07"	D	"32.7002"	"35.4967"	"3/2"	"5/2"		"T5209"	"L6269"	
"449.4177"	"449.4180"	"10"	"1.23e+06"	B+	"2.102297177"	"4.8602959"	"1/2"	"3/2"		"c30"	"L6096"	
"449.7658"	"449.7657"	"11*"	"1.46e+06"	B+	"2.104429202"	"4.8602959"	"3/2"	"5/2"		"c30"	"L6096"	
"449.7658"	"449.7657"	"11*"	"2.44e+05"	B	"2.104429202"	"4.8602959"	"3/2"	"3/2"		"c30"	"L6096"	
"454.1633"	"454.1633"	"7"	"3.76e+05"	B	"2.102297177"	"4.8314795"	"1/2"	"1/2"		"c30"	"L6096"	
"454.5186"	"454.5184"	"8"	"7.50e+05"	B	"2.104429202"	"4.8314795"	"3/2"	"1/2"		"c30"	"L6096"	
"466.48107"	"466.48107"	"1"	"2.08e+06"	B+	"2.102297177"	"4.75941465"	"1/2"	"3/2"		"c30"	"L15039"	
"466.85595"	"466.85567"	"2*"	"4.14e+05"	B+	"2.104429202"	"4.75941465"	"3/2"	"3/2"		"c30"	"L15039"	
"466.85595"	"466.85595"	"2*"	"2.49e+06"	A	"2.104429202"	"4.75941304"	"3/2"	"5/2"		"c30"	"L15039"	
"474.79410"	"474.79412"	"1"	"6.19e+05"	B	"2.102297177"	"4.71289256"	"1/2"	"1/2"		"c30"	"L15039"	
"475.18218"	"475.18219"	"2"	"1.23e+06"	B	"2.104429202"	"4.71289256"	"3/2"	"1/2"		"c30"	"L15039"	
"497.53"	"497.559"	""	""		"33.1388"	"35.6299"	"3/2"	"1/2"		""	"L10065"	
"497.85414"	"497.85414"	"1"	"4.09e+06"	A	"2.102297177"	"4.59197449"	"1/2"	"3/2"		"c30"	"L15039"	
"498.28134"	"498.28134"	"2"	"4.88e+06"	A	"2.104429202"	"4.59197201"	"3/2"	"5/2"		"c30"	"L15039"	
"501.98"	"501.979"	""	""		"33.0956"	"35.5648"	"5/2"	"3/2"		""	"L10065"	
"504.94"	"504.940"	""	""		"33.1752"	"35.6299"	"1/2"	"1/2"		""	"L10065"	
"507.12"	"507.120"	"270"	"4.1e+07"	D	"33.0525"	"35.4967"	"7/2"	"5/2"		"T5209"	"L6269"	
"510.96"	"510.917"	""	""		"33.1388"	"35.5648"	"3/2"	"3/2"		""	"L10065"	
"514.88381"	"514.88383"	"1"	"1.14e+06"	B+	"2.102297177"	"4.50962989"	"1/2"	"1/2"		"c30"	"L15039"	
"515.34024"	"515.34024"	"2"	"2.27e+06"	B+	"2.104429202"	"4.50962989"	"3/2"	"1/2"		"c30"	"L15039"	
"516.25"	"516.212"	"83"	"1.5e+07"	D	"33.0956"	"35.4967"	"5/2"	"5/2"		"T5209"	"L6269"	
"525.64"	"525.669"	"7"	"2.e+06"	D	"33.1388"	"35.4967"	"3/2"	"5/2"		"T5209"	"L6269"	
"541.10"	"541.051"	""	""		"33.3390"	"35.6299"	"3/2"	"1/2"		""	"L10065"	
"545.19"	"545.236"	""	""		"33.2915"	"35.5648"	"5/2"	"3/2"		""	"L10065"	
"546.64"	"546.65"	""	""		"33.3625"	"35.6299"	"1/2"	"1/2"		""	"L10065"	
"556.99"	"556.883"	""	""		"33.3390"	"35.5648"	"3/2"	"3/2"		""	"L10065"	
"562.10"	"562.068"	"42"	"1.4e+07"	D	"33.2915"	"35.4967"	"5/2"	"5/2"		"T5209"	"L6269"	
"562.85"	"562.81"	""	""		"33.3625"	"35.5648"	"1/2"	"3/2"		""	"L10065"	
"568.26333"	"568.26333"	"5"	"1.01e+07"	A	"2.102297177"	"4.28350081"	"1/2"	"3/2"		"c30"	"L15039"	
"568.81934"	"568.81933"	"1"	"2.02e+06"	A	"2.104429202"	"4.28350081"	"3/2"	"3/2"		"c30"	"L15039"	
"568.82046"	"568.82047"	"9"	"1.21e+07"	A	"2.104429202"	"4.28349647"	"3/2"	"5/2"		"c30"	"L15039"	
"574.42"	"574.454"	"12"	"4.e+06"	D	"33.3390"	"35.4967"	"3/2"	"5/2"		"T5209"	"L6269"	
"588.995095"	"588.995094"	"80000"	"6.16e+07"	AA	"0.000000000"	"2.104429202"	"1/2"	"3/2"		"T6617,T6568,T6567"	"L5918"	
"589.592424"	"589.592424"	"40000"	"6.14e+07"	AA	"0.000000000"	"2.102297177"	"1/2"	"1/2"		"T6617,T6567"	"L5918"	
"615.42253"	"615.42255"	"1"	"2.50e+06"	A	"2.102297177"	"4.11635883"	"1/2"	"1/2"		"c30"	"L15039"	
"616.07470"	"616.07471"	"2"	"4.98e+06"	A	"2.104429202"	"4.11635883"	"3/2"	"1/2"		"c30"	"L15039"	
"737.323"	"737.3231"	"2"	"5.42e+04"	B	"3.1913531"	"4.8724352"	"1/2"	"3/2"		"c30"	"L6096"	
"737.349"	"737.3497"	"1"	"5.30e+04"	B	"3.1913531"	"4.8723744"	"1/2"	"1/2"		"c30"	"L6096"	
