obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"422.6771"	"422.680"	"450"	""		"2.6902652"	"5.622727"	"1"	"2"		""	"L4447"	
"422.6826"	"422.68216"	"450"	""		"2.6902652"	"5.62271187"	"1"	"0"		""	"L4447"	
"424.0010"	"424.001"	"600"	""		"2.6902652"	"5.613589"	"1"	"2"		""	"L4447"	
"424.2399"	"424.23569"	"600"	""		"2.6902652"	"5.61197359"	"1"	"2"		""	"L4447"	
"424.3868"	"424.38679"	"500"	""		"2.6902652"	"5.61093335"	"1"	"0"		""	"L4447"	
"425.2939"	"425.2939"	"700"	"7.7e+06"	C	"2.4982425"	"5.412681"	"2"	"3"		"T5363"	"L4447"	
"425.8745"	"425.8739"	"240"	""		"2.4982425"	"5.408712"	"2"	"3"		""	"L4447"	
"425.9013"	"425.901"	"420"	""		"2.6902652"	"5.600551"	"1"	"2"		""	"L4447"	
"426.232"	"426.23151"	"700"	""		"2.6902652"	"5.59829304"	"1"	"2"		""	"L4447"	
"426.5660"	"426.56532"	"500"	""		"2.6902652"	"5.59601740"	"1"	"0"		""	"L4447"	
"428.8145"	"428.81403"	"600"	""		"2.6902652"	"5.58077983"	"1"	"2"		""	"L4447"	
"429.4148"	"429.41397"	"600"	""		"2.6902652"	"5.57674155"	"1"	"0"		""	"L4447"	
"430.8105"	"430.8100"	"700h"	""		"2.2514340"	"5.1285570"	"1"	"2"		""	"L7362"	
"431.3182"	"431.3157"	"110h"	"1.3e+07"	C'	"2.4982425"	"5.371992"	"2"	"1"		"T5960"	"L7362"	
"431.9053"	"431.9056"	"900h"	""		"2.2588413"	"5.128666"	"2"	"3"		""	"L7362"	
"431.9220"	"431.9220"	"340"	""		"2.2588413"	"5.1285570"	"2"	"2"		""	"L4447"	
"432.1953"	"432.19475"	"600"	""		"2.6902652"	"5.55817006"	"1"	"2"		""	"L4447"	
"432.6445"	"432.64449"	"300"	"3.1e+06"	A'	"1.77514463"	"4.6400683"	"0"	"1"		"T5178"	"L7362"	
"433.2439"	"433.24353"	"600"	""		"2.6902652"	"5.55122767"	"1"	"0"		""	"L4447"	
"433.7664"	"433.766"	"1100h"	""		"2.2712989"	"5.12881"	"3"	"4"		""	"L7362"	
"433.7891"	"433.7887"	"420"	""		"2.2712989"	"5.128666"	"3"	"3"		""	"L4447"	
"434.075"	"434.07205"	"700"	""		"2.6902652"	"5.5457669"	"1"	"2"		""	"L3942"	
"436.1710"	"436.17110"	"800"	"9.7e+06"	B+	"1.7983082"	"4.6400683"	"1"	"1"		"T5178"	"L7362"	
"436.620"	"436.60681"	""	""		"2.6902652"	"5.5291894"	"1"	"1"		""	"L3942"	
"436.9365"	"436.93562"	"700"	""		"2.6902652"	"5.52705302"	"1"	"2"		""	"L4447"	
"437.947"	"437.94725"	"680"	""		"2.6902652"	"5.5205003"	"1"	"0"		""	"L3942"	
"438.5820"	"438.58135"	"800"	""		"2.6902652"	"5.51640846"	"1"	"0"		""	"L4447"	
"439.286"	"439.286"	""	""		"2.6902652"	"5.51187"	"1"	"1"		""	"L3942"	
"440.6009"	"440.6009"	"410"	"1.2e+07"	C	"2.4982425"	"5.311432"	"2"	"3"		"T5363"	"L4447"	
"441.2621"	"441.26220"	"160"	""		"1.7983082"	"4.6072818"	"1"	"0"		""	"L7362"	
"441.8087"	"441.8090"	"400"	""		"2.4982425"	"5.3037399"	"2"	"3"		""	"L4447"	
"442.577"	"442.580"	""	""		"2.6902652"	"5.490877"	"1"	"2"		""	"L3942"	
"443.470"	"443.51146"	""	""		"2.6902652"	"5.48499335"	"1"	"2"		""	"L3942"	
"443.8044"	"443.80430"	"1000"	"1.55e+07"	B+	"1.8471842"	"4.6400683"	"2"	"1"		"T5178"	"L7362"	
"445.1804"	"445.18025"	"90"	""		"1.7983082"	"4.5825604"	"1"	"2"		""	"L7362"	
"446.3301"	"446.32981"	"1000"	""		"2.6902652"	"5.46734637"	"1"	"0"		""	"L4447"	
"447.404"	"447.404"	""	""		"2.6902652"	"5.460679"	"1"	"1"		""	"L3942"	
"448.0507"	"448.0545"	"440h"	"1.9e+07"	C+	"2.4982425"	"5.2646339"	"2"	"1"		"T5960"	"L7362"	
"452.2301"	"452.2301"	"470"	""		"2.6902652"	"5.431114"	"1"	"2"		""	"L4447"	
"453.1348"	"453.13490"	"500"	""		"1.8471842"	"4.5825604"	"2"	"2"		""	"L7362"	
"453.2375"	"453.2375"	"1000"	""		"2.6902652"	"5.425022"	"1"	"2"		""	"L4447"	
"458.2993"	"458.29879"	"1100"	""		"2.6902652"	"5.39482100"	"1"	"0"		""	"L4447"	
"460.086"	"460.086"	""	""		"2.6902652"	"5.384316"	"1"	"1"		""	"L3942"	
"460.7331"	"460.73330"	"29000r"	"2.01e+08"	AA	"0.0000000"	"2.6902652"	"0"	"1"		"T3039"	"L7362"	
"467.7750"	"467.77503"	"600"	""		"2.6902652"	"5.3400327"	"1"	"2"		""	"L4447"	
"467.8326"	"467.829"	"1000h"	"1.9e+07"	C	"2.4982425"	"5.147705"	"2"	"3"		"T5363"	"L7362"	
"468.8546"	"468.8546"	"1400"	""		"2.6902652"	"5.333931"	"1"	"2"		""	"L4447"	
