obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"687.04544"	"687.045316"	""	""		"1.809777795"	"3.61388003"	"5/2"	"7/2"		""	"L793"	
"689.50030"	"689.50030"	""	""		"0.00000000"	"1.79767873"	"1/2"	"3/2"	E2	""	"L793c91"	
"697.32966"	"697.329642"	""	""		"1.454620692074"	"3.23211592"	"3/2"	"5/2"		""	"L3506"	
"698.34912"	"698.349607"	""	""		"1.454620692074"	"3.22951984"	"3/2"	"3/2"		""	"L3506"	
"702.66801"	"702.66766"	"100"	""		"1.79767873"	"3.56167080"	"3/2"	"1/2"		""	"L5791"	
"706.17815"	"706.17788"	"130"	""		"1.809777795"	"3.56500158"	"5/2"	"3/2"		""	"L5791"	
"722.85336"	"722.85318"	""	""		"1.79767873"	"3.51241200"	"3/2"	"5/2"		""	"L793"	
"727.98991"	"727.98987"	""	""		"1.809777795"	"3.51241200"	"5/2"	"5/2"		""	"L793"	
"727.99568"	"727.99548"	""	""		"1.809777795"	"3.51239888"	"5/2"	"7/2"		""	"L793"	
"758.37754"	"758.37719"	"120"	""		"1.79767873"	"3.43209068"	"3/2"	"3/2"		""	"L5791"	
"760.89032"	"760.890342"	"bl"	""		"1.385928617528"	"3.01494227654"	"1/2"	"1/2"		""	"L3506"	
"760.95679"	"760.95645"	"530"	""		"1.79767873"	"3.42655087"	"3/2"	"1/2"		""	"L5791"	
"764.03337"	"764.03313"	"720"	""		"1.809777795"	"3.43209068"	"5/2"	"3/2"		""	"L5791"	
