obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"559.012"	"559.0114"	"24"	"8.3e+06"	D	"2.5212633"	"4.7385667"	"1"	"2"		"T866LS"	"L6097"	
"559.447"	"559.4462"	"26"	"3.8e+07"	D	"2.5229867"	"4.7385667"	"2"	"2"		"T866LS"	"L6097"	
"559.849"	"559.8480"	"25"	"4.3e+07"	D	"2.5212633"	"4.7352531"	"1"	"1"		"T866LS"	"L6097"	
"560.129"	"560.1277"	"24"	"8.6e+06"	D	"2.5256821"	"4.7385667"	"3"	"2"		"T866LS"	"L6097"	
"560.285"	"560.2842"	"24"	"1.4e+07"	D	"2.5229867"	"4.7352531"	"2"	"1"		"T866LS"	"L6097"	
"585.745"	"585.7451"	"30"	"6.6e+07"	D	"2.9325120"	"5.0486176"	"1"	"2"		"T866"	"L6097"	
"610.272"	"610.2723"	"27"	"9.6e+06"	C	"1.8793402"	"3.9103990"	"0"	"1"		"T8043"	"L6097"	
"612.222"	"612.2217"	"29"	"2.87e+07"	C	"1.8858075"	"3.9103990"	"1"	"1"		"T8043"	"L6097"	
"616.129"	"616.1297"	"22"	"3.3e+06"	D	"2.5229867"	"4.5347368"	"2"	"2"		"T866LS"	"L6097"	
"616.217"	"616.2173"	"30"	"4.77e+07"	C	"1.8989349"	"3.9103990"	"2"	"1"		"T8043"	"L6097"	
"616.376"	"616.3755"	"22"	"5.6e+06"	D	"2.5212633"	"4.5322113"	"1"	"1"		"T866LS"	"L6097"	
"616.644"	"616.6439"	"24"	"2.2e+07"	D	"2.5212633"	"4.5313358"	"1"	"0"		"T866LS"	"L6097"	
"616.906"	"616.9042"	"26"	"1.7e+07"	D	"2.5229867"	"4.5322113"	"2"	"1"		"T866LS"	"L6097"	
"616.956"	"616.9563"	"28"	"1.9e+07"	D	"2.5256821"	"4.5347368"	"3"	"2"		"T866LS"	"L6097"	
"643.907"	"643.9075"	"35"	"5.3e+07"	D	"2.5256821"	"4.4506470"	"3"	"4"		"T866LS"	"L6097"	
"644.981"	"644.9808"	"30"	"9.0e+06"	D	"2.5212633"	"4.4430250"	"1"	"2"		"T866"	"L6097"	
"645.560"	"645.5598"	"22"	"1.4e+06"	E	"2.5229867"	"4.4430250"	"2"	"2"		"T539n"	"L6097"	
"646.257"	"646.2567"	"34"	"4.7e+07"	D	"2.5229867"	"4.4409544"	"2"	"3"		"T866LS"	"L6097"	
"647.166"	"647.1662"	"29"	"5.9e+06"	D	"2.5256821"	"4.4409544"	"3"	"3"		"T866LS"	"L6097"	
"649.378"	"649.3781"	"32"	"4.4e+07"	D	"2.5212633"	"4.4300117"	"1"	"2"		"T866LS"	"L6097"	
"649.965"	"649.9650"	"28"	"8.1e+06"	D	"2.5229867"	"4.4300117"	"2"	"2"		"T866LS"	"L6097"	
"657.278"	"657.2779"	"23"	"2.6e+03"	D+	"0.0000000"	"1.8858075"	"0"	"1"		"T67"	"L6097"	
"671.769"	"671.7681"	"30"	"1.2e+07"	E	"2.7090094"	"4.5541398"	"2"	"1"		"T539n"	"L6097"	
"714.815"	""	"33"	""		""	""	""	""		""	"L6097"	
"720.219"	""	"31"	""		""	""	""	""		""	"L6097"	
"732.615"	""	"33"	""		""	""	""	""		""	"L6097"	
